Raw Data,Notes,Major Category,Frame limits,Frame image name,CPC filename,Institution,Project,Station,Location,Country,Sitename,Site ID,Site Code,Latitude,Longtitude,Easting,Northing,Projection,Datum,Transect,Transect Direction,Transect Length,Depth,Quad,Habitat,Water Quality,Photo date,Photo time,Photographer,Camera,Lens,Analysis date,Analysis tech
OT,,OO,*,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0894.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0894.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0894.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0894.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0894.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0894.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,,HC,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0894.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0894.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,,AB,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0894.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0894.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,,HC,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0894.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0894.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,,HC,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0894.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0894.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0894.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0894.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0894.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0894.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,**,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0894.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0894.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,*,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0895.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0895.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWB,,TWB,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0895.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0895.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0895.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0895.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0895.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0895.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0895.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,DC,**,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0895.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,*,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0896.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0896.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,,AB,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0896.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0896.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0896.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0896.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0896.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0896.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,,AB,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0896.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0896.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0896.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0896.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0896.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0896.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,,AB,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0896.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0896.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0896.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0896.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,,AB,**,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0896.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0896.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,,AB,*,c:\Users\Dell\Desktop\Mitri Rock\T3\GOPR0897.JPG,C:\CPCe_41_inst\Mitri Rock\T3\GOPR0897.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
