Raw Data,Notes,Major Category,Frame limits,Frame image name,CPC filename,Institution,Project,Station,Location,Country,Sitename,Site ID,Site Code,Latitude,Longtitude,Easting,Northing,Projection,Datum,Transect,Transect Direction,Transect Length,Depth,Quad,Habitat,Water Quality,Photo date,Photo time,Photographer,Camera,Lens,Analysis date,Analysis tech
CE,,HC,*,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE,,HC,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,DC,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE,,HC,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,**,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2944.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,*,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,**,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2945.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWB,,TWB,*,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,**,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2946.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,*,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,**,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2947.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,*,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,**,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2948.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,*,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,**,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2949.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,*,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,HC,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,**,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2950.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,*,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2951.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2951.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2951.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 2\GOPR2951.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
