,,,,,,,,,,W=a(L^b),wt*count
Scientific name,,,English name,,,Size (cm),Total Count,a,b,wt,T. Biomass
Abudefduf vaigiensis,,,Sergeant Major,,,5,86,0.03,2.8,2.7179,233.7414
Abudefduf vaigiensis,,,Sergeant Major,,,6,49,0.03,2.8,4.5284,221.8916
Abudefduf vaigiensis,,,Sergeant Major,,,7,56,0.03,2.8,6.9726,390.4665
Abudefduf sexfasciatus,,,Six-barred Seargeant Major,,,10,18,0.03,2.8,18.9287,340.7170
Abudefduf sexfasciatus,,,Six-barred Seargeant Major,,,12,13,0.03,2.8,31.5376,409.9889
Abudefduf sexfasciatus,,,Six-barred Seargeant Major,,,15,5,0.03,2.8,58.9083,294.5417
Acanthochromis polyacanthus,,,Spiny Chromis,,,3,31,0.03,2.8,0.6502,20.1568
Acanthochromis polyacanthus,,,Spiny Chromis,,,5,68,0.03,2.8,2.7179,184.8188
Acanthochromis polyacanthus,,,Spiny Chromis,,,6,51,0.03,2.8,4.5284,230.9484
Acanthochromis polyacanthus,,,Spiny Chromis,,,7,78,0.03,2.8,6.9726,543.8641
Acanthochromis polyacanthus,,,Spiny Chromis,,,8,11,0.03,2.8,10.1338,111.4720
Acanthochromis polyacanthus,,,Spiny Chromis,,,10,10,0.03,2.8,18.9287,189.2872
Amblyglyphidodon curacao,,,Staghorn Damsel,,,4,19,0.0413,2.886,2.2568,42.8794
Amblyglyphidodon curacao,,,Staghorn Damsel,,,5,72,0.0413,2.886,4.2971,309.3926
Amblyglyphidodon curacao,,,Staghorn Damsel,,,6,13,0.0413,2.886,7.2727,94.5449
Amblyglyphidodon curacao,,,Staghorn Damsel,,,8,53,0.0413,2.886,16.6828,884.1860
Amblyglyphidodon curacao,,,Staghorn Damsel,,,12,1,0.0413,2.886,53.7610,53.7610
Amphiprion ocellaris,,,False Clown Anemonefish,,,4,4,0.0197,3,1.2608,5.0432
Amphiprion ocellaris,,,False Clown Anemonefish,,,8,2,0.0197,3,10.0864,20.1728
Amphiprion ocellaris,,,False Clown Anemonefish,,,10,2,0.0197,3,19.7000,39.4000
Arothron nigropunctatus,,,Black-spotted Pufferfish,,,15,2,0.0266,3,89.7750,179.5500
Bodianus mesothorax,,,Splitlevel Pigfish,,,10,3,0.0163,3.063,18.8446,56.5339
Bodianus mesothorax,,,Splitlevel Pigfish,,,12,2,0.0163,3.063,32.9397,65.8794
Bodianus mesothorax,,,Splitlevel Pigfish,,,15,1,0.0163,3.063,65.2462,65.2462
Caesio caerulaurea,,,Blue and Gold Fusilier,,,15,5,0.0221,2.946,64.44,322.20
Centropyge vrolikii,,,Pearlscale Angelfish,,,12,3,0.0601,2.692,48.3093,144.9278
Cephalopholis beonak,,,Brown-banded Grouper,,,6,1,0.0109,3.16,3.1361,3.1361
Cephalopholis beonak,,,Brown-banded Grouper,,,12,1,0.0109,3.16,28.0310,28.0310
