Scientific_name,English_name,Size,Total_Count,a,b,wt,T. Biomass
Acanthochromis polyacanthus,Spiny Chromis,5,15,0.03,2.8,2.7179,40.7689
Acanthochromis polyacanthus,Spiny Chromis,7,3,0.03,2.8,6.9726,20.9178
Acanthochromis polyacanthus,Spiny Chromis,8,2,0.03,2.8,10.1338,20.2676
Amblyglyphidodon curacao,Staghorn Damsel,4,50,0.0413,2.886,2.2568,112.8405
Amblyglyphidodon curacao,Staghorn Damsel,5,65,0.0413,2.886,4.2971,279.3128
Amblyglyphidodon curacao,Staghorn Damsel,6,21,0.0413,2.886,7.2727,152.7263
Amblyglyphidodon curacao,Staghorn Damsel,7,68,0.0413,2.886,11.3476,771.635
Amblyglyphidodon curacao,Staghorn Damsel,8,20,0.0413,2.886,16.6828,333.6551
Amphiprion clarkii,Clark's Anemonefish,5,1,0.0375,2.866,3.7782,3.7782
Amphiprion clarkii,Clark's Anemonefish,10,1,0.0375,2.866,27.5443,27.5443
Amphiprion clarkii,Clark's Anemonefish,12,1,0.0375,2.866,46.4478,46.4478
Apogon compressus,Split-banded Cardinalfish,4,15,0.0197,3,1.2608,18.912
Bodianus mesothorax,Splitlevel Pigfish,10,1,0.0163,3.063,18.8446,18.8446
Cephalopholis microprion,Dothead Grouper,12,1,0.0109,3.16,28.031,28.031
Cetoscarus bicolor ,Bicolor Parrotfish,15,1,0.0109,3.16,56.7381,56.7381
Chaetodon adiergastos,Panda Butterflyfish,7,1,0.038,2.921,11.1767,11.1767
Chaetodon baronessa,Triangular Butterflyfish,8,1,0.038,2.921,16.5086,16.5086
Chaetodon baronessa,Triangular Butterflyfish,12,4,0.038,2.921,53.96,215.84
Chaetodon octofasciatus,Eight-banded Butterflyfish,8,2,0.038,2.921,16.5086,33.0171
Chaetodon octofasciatus,Eight-banded Butterflyfish,10,6,0.038,2.921,31.6799,190.0793
Chaetodon trifascialis,Chevroned Butterflyfish,12,2,0.038,2.921,53.96,107.92
Cheilinus fasciatus,Scarlet-breasted Maori Wrasse,20,1,0.0318,3,254.4,254.4
Cheilodipterus quinquelineatus,Five-lined Cardinalfish,3,100,0.01,3.11,0.3047,30.4682
