Raw Data,Notes,Major Category,Frame limits,Frame image name,CPC filename,Institution,Project,Station,Location,Country,Sitename,Site ID,Site Code,Latitude,Longtitude,Easting,Northing,Projection,Datum,Transect,Transect Direction,Transect Length,Depth,Quad,Habitat,Water Quality,Photo date,Photo time,Photographer,Camera,Lens,Analysis date,Analysis tech
DC,,DC,*,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.JPG,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,,HC,,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.JPG,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,DC,,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.JPG,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,DC,,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.JPG,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.JPG,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,,HC,,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.JPG,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWB,,TWB,,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.JPG,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,,HC,,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.JPG,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.JPG,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,**,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.JPG,C:\CPCe_41_inst\So. Pagawanen\Transect 1\GOPR3051.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
