Raw Data,Notes,Major Category,Frame limits,Frame image name,CPC filename,Institution,Project,Station,Location,Country,Sitename,Site ID,Site Code,Latitude,Longtitude,Easting,Northing,Projection,Datum,Transect,Transect Direction,Transect Length,Depth,Quad,Habitat,Water Quality,Photo date,Photo time,Photographer,Camera,Lens,Analysis date,Analysis tech
PORB,,HC,*,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWB,,TWB,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,,OB,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORM,,HC,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWB,,TWB,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORM,,HC,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POC,,HC,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORB,,HC,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORE,,HC,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,,OB,**,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 2\GOPR6932.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
