Raw Data,Notes,Major Category,Frame limits,Frame image name,CPC filename,Institution,Project,Station,Location,Country,Sitename,Site ID,Site Code,Latitude,Longtitude,Easting,Northing,Projection,Datum,Transect,Transect Direction,Transect Length,Depth,Quad,Habitat,Water Quality,Photo date,Photo time,Photographer,Camera,Lens,Analysis date,Analysis tech
CM,,HC,*,C:\corals\Site2-Helicopter island\T3\GOPR0356.JPG,C:\corals\Site2-Helicopter island\T3\GOPR0356.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\corals\Site2-Helicopter island\T3\GOPR0356.JPG,C:\corals\Site2-Helicopter island\T3\GOPR0356.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T3\GOPR0356.JPG,C:\corals\Site2-Helicopter island\T3\GOPR0356.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T3\GOPR0356.JPG,C:\corals\Site2-Helicopter island\T3\GOPR0356.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T3\GOPR0356.JPG,C:\corals\Site2-Helicopter island\T3\GOPR0356.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T3\GOPR0356.JPG,C:\corals\Site2-Helicopter island\T3\GOPR0356.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T3\GOPR0356.JPG,C:\corals\Site2-Helicopter island\T3\GOPR0356.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\corals\Site2-Helicopter island\T3\GOPR0356.JPG,C:\corals\Site2-Helicopter island\T3\GOPR0356.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T3\GOPR0356.JPG,C:\corals\Site2-Helicopter island\T3\GOPR0356.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,**,C:\corals\Site2-Helicopter island\T3\GOPR0356.JPG,C:\corals\Site2-Helicopter island\T3\GOPR0356.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
