CODE,DESCRIPTION,FUNCTIONAL GROUP,KEYBOARD SHORTCUT CODE
CA_CCA,Crustose Coralline Algae,CA,
CM,Cyanobacterial Mats,CM,
CA_ECA,Erect Coralline Algae,CA,
HC,Hard Coral,HC,
BL_HC,Hard Coral Bleached,HC,
MA,Macroalgae,MA,
MI,Mobile Invertebrates,MI,
OT,Others (Abiotic),OT,
HS_RM,Reef Matrix with Turf,TA,
SS_SA,Sand,SS,
SG,Seagrass,SG,
SI,Sessile Invertebrates,SI,
SS_SI,Silt,SS,
SC,Soft Coral,SC,
SP,Sponge,SP,
TA,Turf Algae,TA,
HS_RB,Unconsolidated Rubble with Turf,TA,
UN,Unknown/Unidentifiable,UN,
