ID;PIT;Category
DEP_P1_T1_1;0;FMA
DEP_P1_T1_1;0,25;CM
DEP_P1_T1_1;0,5;CS
DEP_P1_T1_1;0,75;CF
DEP_P1_T1_1;1;DCA
DEP_P1_T1_1;1,25;CE
DEP_P1_T1_1;1,5;DCA
DEP_P1_T1_1;1,75;SC
DEP_P1_T1_1;2;DCA
DEP_P1_T1_1;2,25;CE
DEP_P1_T1_1;2,5;FMA
DEP_P1_T1_1;2,75;ACB
DEP_P1_T1_1;3;CS
DEP_P1_T1_1;3,25;R
DEP_P1_T1_1;3,5;DCA
DEP_P1_T1_1;3,75;DCA
DEP_P1_T1_1;4;R
DEP_P1_T1_1;4,25;R
DEP_P1_T1_1;4,5;R
DEP_P1_T1_1;4,75;R
DEP_P1_T1_1;5;ACD
DEP_P1_T1_1;5,25;CB
DEP_P1_T1_1;5,5;R
DEP_P1_T1_1;5,75;R
DEP_P1_T1_1;6;CS
DEP_P1_T1_1;6,25;CF
DEP_P1_T1_1;6,5;FMA
DEP_P1_T1_1;6,75;CF
DEP_P1_T1_1;7;ZO
DEP_P1_T1_1;7,25;DCA
DEP_P1_T1_1;7,5;DCA
DEP_P1_T1_1;7,75;SI
DEP_P1_T1_1;8;CF
DEP_P1_T1_1;8,25;R
DEP_P1_T1_1;8,5;R
DEP_P1_T1_1;8,75;R
DEP_P1_T1_1;9;R
DEP_P1_T1_1;9,25;R
DEP_P1_T1_1;9,5;R
DEP_P1_T1_1;9,75;R
DEP_P1_T1_1;10;CE
DEP_P1_T1_1;10,25;CE
DEP_P1_T1_1;10,5;DCA
DEP_P1_T1_1;10,75;FMA
DEP_P1_T1_1;11;R
DEP_P1_T1_1;11,25;FMA
DEP_P1_T1_1;11,5;FMA
DEP_P1_T1_1;11,75;R
DEP_P1_T1_1;12;CM
DEP_P1_T1_1;12,25;CM
DEP_P1_T1_1;12,5;R
DEP_P1_T1_1;12,75;CB
DEP_P1_T1_1;13;DCA
DEP_P1_T1_1;13,25;CB
DEP_P1_T1_1;13,5;CB
DEP_P1_T1_1;13,75;CB
DEP_P1_T1_1;14;CMR
DEP_P1_T1_1;14,25;R
DEP_P1_T1_1;14,5;R
DEP_P1_T1_1;14,75;DCA
DEP_P1_T1_1;15;CB
DEP_P1_T1_1;15,25;CF
DEP_P1_T1_1;15,5;CB
DEP_P1_T1_1;15,75;R
DEP_P1_T1_1;16;CB
DEP_P1_T1_1;16,25;CMR
DEP_P1_T1_1;16,5;R
DEP_P1_T1_1;16,75;SC
DEP_P1_T1_1;17;R
DEP_P1_T1_1;17,25;CS
DEP_P1_T1_1;17,5;CF
DEP_P1_T1_1;17,75;FMA
DEP_P1_T1_1;18;R
DEP_P1_T1_1;18,25;R
DEP_P1_T1_1;18,5;FMA
DEP_P1_T1_1;18,75;R
DEP_P1_T1_1;19;CF
DEP_P1_T1_1;19,25;CF
DEP_P1_T1_1;19,5;S
DEP_P1_T1_1;19,75;DCA
DEP_P1_T1_1;20;R
DEP_P1_T1_1;20,25;R
DEP_P1_T1_1;20,5;FMA
DEP_P1_T1_1;20,75;R
DEP_P1_T1_1;21;R
DEP_P1_T1_1;21,25;R
DEP_P1_T1_1;21,5;R
DEP_P1_T1_1;21,75;R
DEP_P1_T1_1;22;CF
DEP_P1_T1_1;22,25;DCA
DEP_P1_T1_1;22,5;DCA
DEP_P1_T1_1;22,75;CB
DEP_P1_T1_1;23;SI
DEP_P1_T1_1;23,25;CF
DEP_P1_T1_1;23,5;CF
DEP_P1_T1_1;23,75;R
DEP_P1_T1_1;24;R
DEP_P1_T1_1;24,25;CB
DEP_P1_T1_1;24,5;CB
DEP_P1_T1_1;24,75;CB
DEP_P1_T1_1;25;FMA
DEP_P1_T1_1;25,25;CF
DEP_P1_T1_1;25,5;R
DEP_P1_T1_1;25,75;DCA
DEP_P1_T1_1;26;DCA
DEP_P1_T1_1;26,25;DCA
DEP_P1_T1_1;26,5;FMA
